,Date,Team,Acquired,Relinquished,Notes,Injury Type
3523,2013-11-06,Bucks,,Brandon Knight,strained right hamstring (DNP),hamstring
3524,2013-11-06,Bucks,,Ersan Ilyasova,sore/aprained right ankle (DNP),ankle
3525,2013-11-06,Bucks,,Larry Sanders,sprained right thumb (DNP),hand/finger
3526,2013-11-06,Clippers,,Matt Barnes,thigh injury (DNP),leg
3527,2013-11-06,Jazz,,Marvin Williams,recovering from surgery on right heel and Achilles tendon (DNP),illness
3528,2013-11-06,Knicks,,Tyson Chandler,fractured right fibula (out indefinitely),leg
3529,2013-11-06,Magic,,Doron Lamb,sprained right ankle (DNP),ankle
3530,2013-11-06,Magic,,Solomon Jones,torn lateral meniscus in left knee (DNP),knee
3531,2013-11-06,Magic,,Tobias Harris,sprained left ankle (DNP),ankle
3532,2013-11-06,Pacers,,George Hill,sore left hip (DNP),hip
3533,2013-11-06,Suns,,Alex Len,left ankle injury (DNP),ankle
3534,2013-11-06,Suns,,Goran Dragic,sprained left ankle (DNP),ankle
3535,2013-11-06,Wizards,,Trevor Booker,finger injury (DNP),hand/finger
3536,2013-11-07,Clippers,,Matt Barnes,thigh injury (DNP),leg
3537,2013-11-07,Hawks,,Gustavo Ayon,strained right rotator cuff (DNP),shoulder
3538,2013-11-07,Nuggets,,Anthony Randolph,sprained left ankle (DNP),ankle
3539,2013-11-08,76ers,,Daniel Orton,sore right knee (DNP),knee
3540,2013-11-08,76ers,,Kwame Brown,strained right hamstring (DNP),hamstring
3541,2013-11-08,Bobcats,,Steve Clifford,head coach underwent heart procedure (out indefinitely),head
3542,2013-11-08,Lakers,,Steve Nash,rest (DNP),rest
3543,2013-11-08,Magic,,Doron Lamb,sprained right ankle (DNP),ankle
3544,2013-11-08,Magic,,Solomon Jones,torn lateral meniscus in left knee (DNP),knee
3545,2013-11-08,Magic,,Tobias Harris,sprained left ankle (DNP),ankle
3546,2013-11-08,Suns,,Alex Len,left ankle injury (DNP),ankle
3547,2013-11-08,Suns,,Goran Dragic,sprained left ankle (DNP),ankle
3548,2013-11-08,Timberwolves,,Derrick Williams,back spasms (DNP),back
3549,2013-11-08,Warriors,,Stephen Curry,bruised/sprained left ankle (DNP),bruise
3550,2013-11-08,Wizards,,Trevor Booker,finger injury (DNP),hand/finger
3551,2013-11-09,76ers,,Daniel Orton,sore right knee (DNP),knee
3552,2013-11-09,76ers,,Kwame Brown,strained right hamstring (DNP),hamstring
3553,2013-11-09,Bucks,,Ersan Ilyasova,sore/aprained right ankle (DNP),ankle
3554,2013-11-09,Bucks,,Larry Sanders,sprained right thumb (DNP),hand/finger
3555,2013-11-09,Clippers,,Matt Barnes,thigh injury (DNP),leg
3556,2013-11-09,Grizzlies,,Jerryd Bayless,sprained right knee (DNP),knee
3557,2013-11-09,Magic,,Doron Lamb,sprained right ankle (DNP),ankle
3558,2013-11-09,Magic,,Solomon Jones,torn lateral meniscus in left knee (DNP),knee
3559,2013-11-09,Magic,,Tobias Harris,sprained left ankle (DNP),ankle
3560,2013-11-09,Mavericks,,Wayne Ellington,DNP,Misc.
3561,2013-11-10,Nuggets,,JaVale McGee,stress fracture in left tibia (out indefinitely),leg
3562,2013-11-10,Suns,,Alex Len,sore left ankle (DNP),ankle
3563,2013-11-10,Wizards,,Trevor Booker,finger injury (DNP),hand/finger
3564,2013-11-11,76ers,,Daniel Orton,sore right knee (DNP),knee
3565,2013-11-11,76ers,,Kwame Brown,strained right hamstring (DNP),hamstring
3567,2013-11-11,Bucks,,Larry Sanders,surgery on right thumb to repaor torn ligament (out indefinitely),hand/finger
3568,2013-11-11,Grizzlies,,Jerryd Bayless,sprained right knee (DNP),knee
3569,2013-11-11,Lakers,,Steve Nash,nerve irritation in back (out indefinitely),back
3570,2013-11-11,Magic,,Doron Lamb,sprained right ankle (DNP),ankle
3571,2013-11-11,Magic,,Solomon Jones,torn lateral meniscus in left knee (DNP),knee
3572,2013-11-11,Magic,,Tobias Harris,sprained left ankle (DNP),ankle
3573,2013-11-11,Rockets,,Francisco Garcia,flu (DNP),illness
3574,2013-11-11,Rockets,,Greg Smith (a),flu (DNP),illness
3575,2013-11-11,Spurs,,Tim Duncan,rest (DNP),rest
3576,2013-11-12,Bucks,,Ersan Ilyasova,sore/aprained right ankle (DNP),ankle
3577,2013-11-12,Bucks,,Larry Sanders,recovering from surgery on right thumb to repaor torn ligament (DNP),hand/finger
3578,2013-11-12,Mavericks,,Wayne Ellington,bruised right thigh (DNP),bruise
3579,2013-11-13,76ers,,Kwame Brown,strained right hamstring (DNP),hamstring
3580,2013-11-13,76ers,,Michael Carter-Williams,bruised left foot (DNP),bruise
3581,2013-11-13,Bucks,,Brandon Knight,sore/strained right hamstring (DNP),hamstring
3582,2013-11-13,Bucks,,Ersan Ilyasova,sore/aprained right ankle (DNP),ankle
3583,2013-11-13,Bucks,,Gary Neal,sore left foot (DNP),foot
3584,2013-11-13,Bucks,,Larry Sanders,recovering from surgery on right thumb to repaor torn ligament (DNP),hand/finger
3585,2013-11-13,Bucks,,Zaur Pachulia / Zaza Pachulia,sore right foot (DNP),foot
3586,2013-11-13,Celtics,,Jared Sullinger,bruised right knee (DNP),bruise
3587,2013-11-13,Grizzlies,,Quincy Pondexter,fractured nose (DNP),face
3588,2013-11-13,Magic,,Solomon Jones,torn lateral meniscus in left knee (DNP),knee
3589,2013-11-13,Magic,,Tobias Harris,sprained left ankle (DNP),ankle
3590,2013-11-13,Pelicans,,Greg Stiemsma,sprained MCL in left knee (DTD),knee
3591,2013-11-13,Rockets,,Greg Smith (a),flu (DNP),illness
3592,2013-11-13,Rockets,,James Harden,bruised left foot (DNP),bruise
3593,2013-11-13,Suns,,Alex Len,sore left ankle (DNP),ankle
3594,2013-11-13,Timberwolves,,Kevin Martin,flu (DNP),illness
3595,2013-11-15,76ers,,Kwame Brown,strained right hamstring (DNP),hamstring
3596,2013-11-15,76ers,,Michael Carter-Williams,bruised left foot (DNP),bruise
3597,2013-11-15,Bucks,,Caron Butler,sprained left shoulder (DNP),shoulder
3598,2013-11-15,Bucks,,Ersan Ilyasova,sore/aprained right ankle (DNP),ankle
3599,2013-11-15,Bulls,,Derrick Rose,sore hamstring (DNP),hamstring
3600,2013-11-15,Heat,,Udonis Haslem,back spasms (DNP),back
3601,2013-11-15,Mavericks,,Wayne Ellington,bruised right thigh (DNP),bruise
3602,2013-11-15,Rockets,,Greg Smith (a),sprained right knee (DNP),knee
3603,2013-11-15,Suns,,Alex Len,sore left ankle (DNP),ankle
3604,2013-11-15,Timberwolves,,Shabazz Muhammad,sprained right ankle (DNP),ankle
3605,2013-11-16,76ers,,Michael Carter-Williams,bruised left foot (DNP),bruise
3606,2013-11-16,Bucks,,Caron Butler,sprained left shoulder (DNP),shoulder
3607,2013-11-16,Bucks,,Ersan Ilyasova,sore/aprained right ankle (DNP),ankle
3608,2013-11-16,Celtics,,Courtney Lee,sore right wrist (DNP),wrist
3609,2013-11-16,Celtics,,Keith Bogans,illness (DNP),illness
3610,2013-11-16,Heat,,Udonis Haslem,back spasms (DNP),back
3611,2013-11-16,Magic,,Kyle O'Quinn,sprained right ankle (DNP),ankle
3612,2013-11-16,Magic,,Tobias Harris,sprained left ankle (DNP),ankle
3613,2013-11-16,Mavericks,,Wayne Ellington,bruised right thigh (DNP),bruise
3614,2013-11-16,Nets,,Brook Lopez,sprained left ankle (DNP),ankle
3615,2013-11-16,Nets,,Deron Williams,sprained left ankle (DNP),ankle
3616,2013-11-16,Rockets,,Omer Asik,illness (DNP),illness
3617,2013-11-16,Timberwolves,,Shabazz Muhammad,sprained right ankle (DNP),ankle
3618,2013-11-16,Wizards,,Al Harrington,sore right knee (DTD),knee
3619,2013-11-16,Wizards,,Trevor Ariza,strained right hamstring (DNP),hamstring
3620,2013-11-17,Kings,,Patrick Patterson,bruised left knee (DNP),bruise
3621,2013-11-18,76ers,,Kwame Brown,strained right hamstring (DNP),hamstring
3622,2013-11-18,76ers,,Michael Carter-Williams,bruised left foot (DNP),bruise
3623,2013-11-18,Mavericks,,Wayne Ellington,bruised right thigh (DNP),bruise
3624,2013-11-18,Nets,,Deron Williams,sprained left ankle (DNP),ankle
3625,2013-11-19,Knicks,,Raymond Felton,pinched nerve in left hip (DNP),hip
3626,2013-11-19,Rockets,,Greg Smith (a),sprained right knee (DNP),knee
3627,2013-11-19,Rockets,,Ronnie Brewer,strained right calf (DNP),calf
3628,2013-11-19,Suns,,Eric Bledsoe,bruised shin (DNP),bruise
3629,2013-11-19,Timberwolves,,Shabazz Muhammad,sprained right ankle (DNP),ankle
3630,2013-11-19,Wizards,,Al Harrington,sore right knee (DNP),knee
3631,2013-11-19,Wizards,,Trevor Ariza,strained right hamstring (DNP),hamstring
3632,2013-11-20,Celtics,,Keith Bogans,illness (DNP),illness
3633,2013-11-20,Clippers,,Matt Barnes,bruised left eye (DNP),bruise
3634,2013-11-20,Knicks,,Raymond Felton,pinched nerve in left hip (DNP),hip
3635,2013-11-20,Magic,,Kyle O'Quinn,sprained right ankle (DNP),ankle
3636,2013-11-20,Magic,,Tobias Harris,sprained left ankle (DNP),ankle
3637,2013-11-20,Mavericks,,Wayne Ellington,bruised right thigh (DNP),bruise
3638,2013-11-20,Pistons,,Charlie Villanueva,sore back (DNP),back
3639,2013-11-20,Raptors,,Quincy Acy,sprained right ankle (DNP),ankle
3640,2013-11-20,Rockets,,Greg Smith (a),sprained right knee (DNP),knee
3641,2013-11-20,Rockets,,Ronnie Brewer,strained right calf (DNP),calf
3642,2013-11-20,Timberwolves,,Shabazz Muhammad,sprained right ankle (DNP),ankle
3643,2013-11-20,Wizards,,Trevor Ariza,strained right hamstring (DNP),hamstring
3644,2013-11-21,Clippers,,Matt Barnes,bruised left eye (DNP),bruise
3645,2013-11-21,Clippers,,Matt Barnes,surgery on left eye to repair torn retina (out indefinitely),face
3646,2013-11-22,Bucks,,Brandon Knight,sore right hamstring (DNP),hamstring
3647,2013-11-22,Celtics,,Keith Bogans,illness (DNP),illness
3648,2013-11-22,Lakers,,Chris Kaman,sore back (DNP),back
3649,2013-11-22,Nets,,Deron Williams,sprained left ankle (DNP),ankle
3650,2013-11-22,Nets,,Jason Terry,knee injury (DTD),knee
3651,2013-11-22,Pacers,,C.J. Watson,upper respiratory infection (DNP),illness
3652,2013-11-22,Pistons,,Charlie Villanueva,sore back (DNP),back
3653,2013-11-22,Timberwolves,,Shabazz Muhammad,sprained right ankle (DNP),ankle
3654,2013-11-22,Warriors,,Ognjen Kuzmic / Ognen Kuzmic,fractured right hand (DNP),hand/finger
3655,2013-11-22,Wizards,,Trevor Ariza,strained right hamstring (DNP),hamstring
3656,2013-11-23,76ers,,Spencer Hawes,sore left knee (DNP),knee
3657,2013-11-23,76ers,,Tony Wroten Jr.,strained lower back (DNP),back
3658,2013-11-23,Bulls,,Derrick Rose,torn meniscus in right knee (out for season),knee
3659,2013-11-23,Celtics,,Keith Bogans,illness (DNP),illness
3660,2013-11-23,Celtics,,Kelly Olynyk,sprained right ankle (DNP),ankle
3661,2013-11-23,Clippers,,Matt Barnes,recovering from surgery on left eye (DNP),face
3662,2013-11-23,Grizzlies,,Marc Gasol,sprained MCL in left knee (out indefinitely),knee
3663,2013-11-23,Knicks,,Raymond Felton,pinched nerve in left hip (DNP),hip
3664,2013-11-23,Magic,,Kyle O'Quinn,sprained right ankle (DNP),ankle
3665,2013-11-23,Rockets,,Greg Smith (a),sprained right knee (DNP),knee
3666,2013-11-23,Rockets,,James Harden,sore left foot (DNP),foot
3667,2013-11-23,Rockets,,Ronnie Brewer,strained right calf (DNP),calf
3668,2013-11-23,Timberwolves,,Shabazz Muhammad,sprained right ankle (DNP),ankle
3669,2013-11-23,Wizards,,Al Harrington,sore right knee (DNP),knee
3670,2013-11-23,Wizards,,Trevor Ariza,strained right hamstring (DNP),hamstring
3671,2013-11-24,Clippers,,Matt Barnes,recovering from surgery on left eye (DNP),face
3672,2013-11-24,Lakers,,Chris Kaman,sore back (DNP),back
3673,2013-11-24,Nets,,Deron Williams,sprained left ankle (DNP),ankle
3674,2013-11-25,Bulls,,Derrick Rose,surgery on right knee to repair torn meniscus (out for season),knee
3675,2013-11-25,Celtics,,Keith Bogans,illness (DNP),illness
3676,2013-11-25,Celtics,,Kelly Olynyk,sprained right ankle (DNP),ankle
3677,2013-11-25,Knicks,,Raymond Felton,pinched nerve in left hip (DNP),hip
3678,2013-11-25,Rockets,,Greg Smith (a),sprained right knee (DNP),knee
3679,2013-11-25,Rockets,,James Harden,sore left foot (DNP),foot
3680,2013-11-25,Rockets,,Ronnie Brewer,strained right calf (DNP),calf
3681,2013-11-25,Timberwolves,,Shabazz Muhammad,sprained right ankle (DNP),ankle
3682,2013-11-26,Lakers,,Chris Kaman,sore back (DNP),back
3683,2013-11-26,Nets,,Deron Williams,sprained left ankle (DNP),ankle
3684,2013-11-26,Nets,,Jason Terry,bruised left knee (DNP),bruise
3685,2013-11-26,Wizards,,Al Harrington,sore right knee (DNP),knee
3686,2013-11-27,76ers,,Spencer Hawes,sore left knee (DNP),knee
3687,2013-11-27,76ers,,Tony Wroten Jr.,strained lower back (DNP),back
3688,2013-11-27,Bucks,,Nate Wolters,illness (DNP),illness
3689,2013-11-27,Cavaliers,,Tyler Zeller,sprained right ankle (DNP),ankle
3690,2013-11-27,Celtics,,Kelly Olynyk,sprained right ankle (DNP),ankle
3691,2013-11-27,Clippers,,Matt Barnes,recovering from surgery on left eye (DNP),face
3692,2013-11-27,Hawks,,Kyle Korver,bruised ribs (DNP),bruise
3693,2013-11-27,Hawks,,Shelvin Mack,sprained left ankle (DNP),ankle
3694,2013-11-27,Lakers,,Chris Kaman,sore back (DNP),back
3695,2013-11-27,Nets,,Deron Williams,sprained left ankle (DNP),ankle
3696,2013-11-27,Rockets,,Greg Smith (a),sprained right knee (DNP),knee
3697,2013-11-27,Rockets,,James Harden,sore left foot (DNP),foot
3698,2013-11-29,Bucks,,Caron Butler,sore left knee (DNP),knee
3699,2013-11-29,Celtics,,Courtney Lee,sore/sprained left knee (DNP),knee
3700,2013-11-29,Celtics,,Kelly Olynyk,sprained right ankle (DNP),ankle
3701,2013-11-29,Clippers,,Chris Paul,strained right hamstring (DNP),hamstring
3702,2013-11-29,Clippers,,Matt Barnes,recovering from surgery on left eye (DNP),face
3703,2013-11-29,Lakers,,Chris Kaman,sore back (DNP),back
3704,2013-11-29,Magic,,Jameer Nelson,sprained left foot (DNP),foot
3705,2013-11-29,Nets,,Deron Williams,sprained left ankle (DNP),ankle
3706,2013-11-29,Nets,,Kevin Garnett,rest (DNP),rest
3707,2013-11-29,Rockets,,Greg Smith (a),sprained right knee (DNP),knee
3708,2013-11-29,Rockets,,Jeremy Lin,sprained right knee (DNP),knee
3709,2013-11-29,Suns,,Alex Len,sore left ankle (DNP),ankle
3711,2013-11-29,Wizards,,Nene / Nene Hilario / Maybyner Hilario,sore right Achilles (DNP),illness
3712,2013-11-30,Bucks,,Caron Butler,sore left knee (DNP),knee
3713,2013-11-30,Bucks,,Ersan Ilyasova,sore left hamstring (DNP),hamstring
3714,2013-11-30,Celtics,,Courtney Lee,sore left knee (DNP),knee
3715,2013-11-30,Celtics,,Kelly Olynyk,sprained right ankle (DNP),ankle
3716,2013-11-30,Grizzlies,,Zach Randolph,ingrown toenail (DNP),foot
3717,2013-11-30,Hawks,,Louis Williams / Lou Williams,recovering from surgery on right knee (DNP),knee
3718,2013-11-30,Jazz,,Andris Biedrins,sprained left ankle (out indefinitely),ankle
3719,2013-11-30,Mavericks,,Jose Calderon,bone bruise in right ankle (DNP),bruise
3720,2013-11-30,Nets,,Deron Williams,sprained left ankle (DNP),ankle
3721,2013-11-30,Nets,,Paul Pierce,bruised right hand (DNP),bruise
3722,2013-11-30,Rockets,,Greg Smith (a),sprained right knee (DNP),knee
3723,2013-11-30,Rockets,,Jeremy Lin,sprained right knee (DNP),knee
3724,2013-11-30,Timberwolves,,Shabazz Muhammad,DNP,Misc.
3725,2013-11-30,Wizards,,Al Harrington,sore right knee (DNP),knee
3726,2013-12-01,Clippers,,J.J. Redick,fractured right hand (DNP),hand/finger
3727,2013-12-01,Clippers,,Matt Barnes,recovering from surgery on left eye (DNP),face
3728,2013-12-01,Lakers,,Chris Kaman,sore back (DNP),back
3729,2013-12-01,Pelicans,,Anthony Davis,fractured left hand (out indefinitely),hand/finger
3730,2013-12-02,Lakers,,Jordan Farmar,torn left hamstring (out indefinitely),hamstring
3731,2013-12-02,Magic,,Jameer Nelson,sprained left foot (DNP),foot
3732,2013-12-02,Rockets,,Chandler Parsons,sore back / back spasms (DNP),back
3733,2013-12-02,Rockets,,Greg Smith (a),sprained right knee (DNP),knee
3734,2013-12-02,Rockets,,Jeremy Lin,sprained right knee (DNP),knee
3735,2013-12-03,Bucks,,Caron Butler,sore left knee (DNP),knee
3736,2013-12-03,Celtics,,Kelly Olynyk,sprained right ankle (DNP),ankle
3737,2013-12-03,Grizzlies,,Zach Randolph,ingrown toenail (DNP),foot
3738,2013-12-03,Heat,,Dwyane Wade,knee injury (DTD),knee
3739,2013-12-03,Magic,,Jameer Nelson,sprained left foot (DNP),foot
3740,2013-12-03,Magic,,Nikola Vucevic,sprained left ankle (DNP),ankle
3741,2013-12-03,Nets,,Deron Williams,sprained left ankle (DNP),ankle
3742,2013-12-03,Nets,,Paul Pierce,fractured right hand (DNP),hand/finger
3743,2013-12-04,Bobcats,,Michael Kidd-Gilchrist,fractured left hand (out indefinitely),hand/finger
3744,2013-12-04,Bucks,,Caron Butler,sore left knee (DNP),knee
3745,2013-12-04,Clippers,,J.J. Redick,fractured right hand (DNP),hand/finger
3746,2013-12-04,Clippers,,Matt Barnes,recovering from surgery on left eye (DNP),face
3747,2013-12-04,Rockets,,Chandler Parsons,sore back (DNP),back
3748,2013-12-04,Rockets,,Greg Smith (a),sprained right knee (DNP),knee
3749,2013-12-04,Rockets,,Jeremy Lin,sprained right knee (DNP),knee
3750,2013-12-04,Rockets,,Omer Asik,bruised right thigh (DNP),bruise
3751,2013-12-05,Bulls,,Mike James (Lamont),right knee injury (DNP),knee
3752,2013-12-05,Clippers,,J.J. Redick,fractured right hand (DNP),hand/finger
3753,2013-12-05,Clippers,,Matt Barnes,recovering from surgery on left eye (DNP),face
3754,2013-12-05,Grizzlies,,Tony Allen,hip injury (DNP),hip
3755,2013-12-05,Nets,,Deron Williams,sprained left ankle (DNP),ankle
3756,2013-12-05,Nets,,Paul Pierce,fractured right hand (DNP),hand/finger
3757,2013-12-06,76ers,,Michael Carter-Williams,sore right knee (DNP),knee
3758,2013-12-06,Bucks,,Caron Butler,sore left knee (DNP),knee
3759,2013-12-06,Bucks,,Zaur Pachulia / Zaza Pachulia,sprained (P) / fractured (CBC) right foot (DNP),foot
3760,2013-12-06,Celtics,,Kelly Olynyk,sprained right ankle (DNP),ankle
3761,2013-12-06,Knicks,,Amare Stoudemire / Amar'e Stoudemire,resting knee injury (DNP),knee
3762,2013-12-06,Lakers,,Chris Kaman,back spasms (DNP),back
3763,2013-12-06,Lakers,,Jordan Farmar,torn left hamstring (DNP),hamstring
3764,2013-12-06,Magic,,Nikola Vucevic,sprained left ankle (DNP),ankle
3765,2013-12-06,Rockets,,Greg Smith (a),sprained right knee (DNP),knee
3766,2013-12-06,Rockets,,Jeremy Lin,sprained right knee (DNP),knee
3767,2013-12-06,Rockets,,Omer Asik,bruised right thigh (DNP),bruise
3768,2013-12-06,Wizards,,Al Harrington,sore right knee (DNP),knee
3769,2013-12-07,76ers,,Michael Carter-Williams,sore right knee (DNP),knee
3770,2013-12-07,Bucks,,Caron Butler,sore left knee (DNP),knee
3771,2013-12-07,Bucks,,Zaur Pachulia / Zaza Pachulia,sprained right foot (P) (DNP),foot
3772,2013-12-07,Bulls,,Luol Deng,left calf injury (DNP),calf
3773,2013-12-07,Bulls,,Mike James (Lamont),right knee injury (DNP),knee
3774,2013-12-07,Clippers,,J.J. Redick,fractured right hand (DNP),hand/finger
3775,2013-12-07,Clippers,,Matt Barnes,recovering from surgery on left eye (DNP),face
3776,2013-12-07,Grizzlies,,Ed Davis (a),sprained right ankle (DNP),ankle
3777,2013-12-07,Grizzlies,,Tony Allen,hip injury (DNP),hip
3778,2013-12-07,Nets,,Deron Williams,sprained left ankle (DNP),ankle
3779,2013-12-07,Nets,,Paul Pierce,fractured right hand (DNP),hand/finger
3780,2013-12-07,Nuggets,,Ty Lawson,strained left hamstring (DNP),hamstring
3781,2013-12-08,Celtics,,Kelly Olynyk,sprained right ankle (DNP),ankle
3782,2013-12-08,Knicks,,Kenyon Martin,sore left ankle (DNP),ankle
3783,2013-12-08,Lakers,,Chris Kaman,back spasms (DNP),back
3784,2013-12-08,Lakers,,Jordan Farmar,torn left hamstring (DNP),hamstring
3785,2013-12-08,Magic,,Nikola Vucevic,sprained left ankle (DNP),ankle
3786,2013-12-08,Pistons,,Rodney Stuckey,sore left knee (DNP),knee
3787,2013-12-08,Raptors,,Quincy Acy,DNP,Misc.
3788,2013-12-08,Raptors,,Rudy Gay,DNP,Misc.
3789,2013-12-08,Rockets,,Greg Smith (a),sprained right knee (DNP),knee
3790,2013-12-08,Rockets,,Jeremy Lin,sprained right knee (DNP),knee
3791,2013-12-08,Rockets,,Omer Asik,bruised right thigh (DNP),bruise
3792,2013-12-09,76ers,,Elliot Williams,back injury (DNP),back
3793,2013-12-09,76ers,,Michael Carter-Williams,sore right knee (DNP),knee
3794,2013-12-09,Bobcats,,Bismack Biyombo,sprained right ankle (DNP),ankle
3795,2013-12-09,Bobcats,,Jeffery Taylor / Jeff Taylor (b),bruised left heel (DNP),bruise
3796,2013-12-09,Bucks,,Zaur Pachulia / Zaza Pachulia,fractured right foot (out indefinitely),foot
3797,2013-12-09,Clippers,,J.J. Redick,fractured right hand (DNP),hand/finger
3798,2013-12-09,Clippers,,Matt Barnes,recovering from surgery on left eye (DNP),face
3799,2013-12-09,Clippers,,Reggie Bullock,sprained left ankle (DTD),ankle
3800,2013-12-09,Grizzlies,,Ed Davis (a),sprained left /right (CBC) ankle (DNP),ankle
3801,2013-12-09,Grizzlies,,Quincy Pondexter,stress fracture in right foot (DNP),foot
3802,2013-12-09,Grizzlies,,Tony Allen,hip injury (DNP),hip
3803,2013-12-09,Magic,,Nikola Vucevic,sprained left ankle (DNP),ankle
3804,2013-12-09,Nuggets,,Ty Lawson,strained left hamstring (DNP),hamstring
3805,2013-12-09,Pelicans,,Tyreke Evans,sprained left ankle (out indefinitely),ankle
3806,2013-12-09,Wizards,,Martell Webster,left ankle injury (DNP),ankle
3807,2013-12-09,Wizards,,Nene / Nene Hilario / Maybyner Hilario,right foot injury (DTD),foot
3808,2013-12-10,Bucks,,Caron Butler,sore left knee (DNP),knee
3809,2013-12-10,Bucks,,Gary Neal,plantar faciitis in left foot (DNP),foot
3810,2013-12-10,Bucks,,Zaur Pachulia / Zaza Pachulia,fractured right foot (DNP),foot
3811,2013-12-10,Bulls,,Joakim Noah,bruised right thigh (DNP),bruise
3812,2013-12-10,Bulls,,Luol Deng,sore left Achilles (DNP),illness
3813,2013-12-10,Celtics,,Kelly Olynyk,sprained right ankle (DNP),ankle
3814,2013-12-10,Hawks,,Gustavo Ayon,sprained left ankle (DTD),ankle
3815,2013-12-10,Knicks,,Kenyon Martin,sore left ankle (DNP),ankle
3816,2013-12-10,Lakers,,Chris Kaman,back spasms (DNP),back
3817,2013-12-10,Lakers,,Jordan Farmar,torn left hamstring (DNP),hamstring
3818,2013-12-11,76ers,,Michael Carter-Williams,skin infection (DNP),illness
3819,2013-12-11,Bobcats,,Bismack Biyombo,sprained right ankle (DNP),ankle
3820,2013-12-11,Bucks,,Caron Butler,sore left knee (DNP),knee
3821,2013-12-11,Bucks,,Gary Neal,plantar faciitis in left foot (DNP),foot
3822,2013-12-11,Bucks,,Zaur Pachulia / Zaza Pachulia,fractured right foot (DNP),foot
3823,2013-12-11,Bulls,,Luol Deng,sore left Achilles (DNP),illness
3824,2013-12-11,Celtics,,Kelly Olynyk,sprained right ankle (DNP),ankle
3825,2013-12-11,Celtics,,Kris Humphries,bruised right knee (DNP),bruise
3826,2013-12-11,Clippers,,Matt Barnes,recovering from surgery on left eye (DNP),face
3827,2013-12-11,Clippers,,Reggie Bullock,sprained left ankle (DNP),ankle
3828,2013-12-11,Grizzlies,,Ed Davis (a),sprained left /right (CBC) ankle (DNP),ankle
3829,2013-12-11,Grizzlies,,Quincy Pondexter,stress fracture in right foot (DNP),foot
3830,2013-12-11,Grizzlies,,Tony Allen,hip injury (DNP),hip
3831,2013-12-11,Kings,,Aaron Gray,DNP,Misc.
3832,2013-12-11,Kings,,Quincy Acy,DNP,Misc.
3833,2013-12-11,Kings,,Rudy Gay,DNP,Misc.
3834,2013-12-11,Knicks,,Raymond Felton,sore left hamstring (DNP),hamstring
3835,2013-12-11,Warriors,,Jermaine O'Neal,sprained right wrist (DNP),wrist
3836,2013-12-12,Clippers,,Matt Barnes,recovering from surgery on left eye (DNP),face
3837,2013-12-12,Lakers,,Steve Blake,torn ligament in right elbow (out indefinitely),arm
3838,2013-12-12,Rockets,,Greg Smith (a),sprained right knee (DNP),knee
3839,2013-12-12,Rockets,,Omer Asik,bruised right thigh (DNP),bruise
3840,2013-12-13,76ers,,Michael Carter-Williams,skin infection (DNP),illness
3841,2013-12-13,Bucks,,Caron Butler,sore left knee (DNP),knee
3842,2013-12-13,Bucks,,Zaur Pachulia / Zaza Pachulia,fractured right foot (DNP),foot
3843,2013-12-13,Bulls,,Luol Deng,sore left Achilles (DNP),illness
3844,2013-12-13,Bulls,,Mike James (Lamont),right knee injury (DNP),knee
3845,2013-12-13,Celtics,,Kris Humphries,bruised right knee (DNP),bruise
3846,2013-12-13,Grizzlies,,Quincy Pondexter,stress fracture in right foot (DNP),foot
3847,2013-12-13,Knicks,,Raymond Felton,sore left hamstring (DNP),hamstring
3848,2013-12-13,Lakers,,Jordan Farmar,torn left hamstring (DNP),hamstring
3849,2013-12-13,Lakers,,Steve Blake,torn ligament in right elbow (DNP),arm
3850,2013-12-13,Nets,,Brook Lopez,sprained left ankle (DNP),ankle
3851,2013-12-13,Raptors,,Landry Fields,strained neck (DNP),neck
3852,2013-12-13,Rockets,,Greg Smith (a),sprained right knee (DNP),knee
3853,2013-12-13,Spurs,,Aron Baynes,left ankle injury (DNP),ankle
3854,2013-12-13,Wizards,,Nene / Nene Hilario / Maybyner Hilario,right foot tendinitis (DNP),foot
3855,2013-12-13,Warriors,,Jermaine O'Neal,arthroscopic surgery on right wrist to repair torn ligament (out indefinitely),wrist
3856,2013-12-14,76ers,,Michael Carter-Williams,skin infection (DNP),illness
3857,2013-12-14,Bucks,,Carlos Delfino,surgery on right foot (out for season),foot
3858,2013-12-14,Bucks,,Caron Butler,sore left knee (DNP),knee
3859,2013-12-14,Bucks,,Zaur Pachulia / Zaza Pachulia,fractured right foot (DNP),foot
3860,2013-12-14,Bulls,,Kirk Hinrich,strained back (DNP),back
3861,2013-12-14,Clippers,,Matt Barnes,recovering from surgery on left eye (DNP),face
3862,2013-12-14,Knicks,,Kenyon Martin,strained abdominal muscle (DNP),core
3863,2013-12-14,Knicks,,Raymond Felton,strained left hamstring (DNP),hamstring
3864,2013-12-14,Lakers,,Jordan Farmar,torn left hamstring (DNP),hamstring
3865,2013-12-14,Lakers,,Steve Blake,torn ligament in right elbow (DNP),arm
3866,2013-12-14,Wizards,,Nene / Nene Hilario / Maybyner Hilario,right foot tendinitis (DNP),foot
3867,2013-12-15,Grizzlies,,Quincy Pondexter,stress fracture in right foot (DNP),foot
3868,2013-12-15,Pelicans,,Tyreke Evans,sprained left ankle (DNP),ankle
3869,2013-12-15,Rockets,,Jeremy Lin,sprained right knee (P) / back injury (CBC) (DNP),knee
